Date : 2024-03-14 12:16:37
Directory : h:\inde\JakSurveillance
Total : 376 files,  2972 codes, 209 comments, 242 blanks, all 3423 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance (Files)                                                                       |          8 |       -204 |        -15 |        -53 |       -272 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\.github                                                                       |          1 |        -53 |         -8 |         -9 |        -70 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\.github\workflows                                                             |          1 |        -53 |         -8 |         -9 |        -70 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\backend                                                                       |         48 |     -5,767 |     -2,242 |       -503 |     -8,512 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\backend (Files)                                                               |          5 |       -152 |          0 |        -20 |       -172 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\backend\database                                                              |          3 |       -207 |        -36 |        -42 |       -285 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\backend\src                                                                   |         40 |     -5,408 |     -2,206 |       -441 |     -8,055 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\backend\src (Files)                                                           |          3 |       -159 |       -220 |        -32 |       -411 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\backend\src\config                                                            |          1 |        -47 |        -25 |         -7 |        -79 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\backend\src\controllers                                                       |          5 |       -848 |       -315 |        -83 |     -1,246 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\backend\src\models                                                            |         15 |     -1,986 |       -992 |       -175 |     -3,153 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\backend\src\routes                                                            |          6 |     -1,648 |       -436 |        -72 |     -2,156 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\backend\src\routes (Files)                                                    |          4 |     -1,172 |       -274 |        -45 |     -1,491 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\backend\src\routes\course                                                     |          2 |       -476 |       -162 |        -27 |       -665 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\backend\src\sockets                                                           |          1 |       -488 |       -125 |        -35 |       -648 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\backend\src\tests                                                             |          1 |        -43 |         -2 |         -6 |        -51 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\backend\src\utils                                                             |          8 |       -189 |        -91 |        -31 |       -311 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\frontend                                                                      |        117 |    -10,759 |     -1,712 |       -829 |    -13,300 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\frontend (Files)                                                              |         10 |       -304 |        -23 |        -31 |       -358 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\frontend\src                                                                  |        107 |    -10,455 |     -1,689 |       -798 |    -12,942 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\frontend\src (Files)                                                          |          3 |        -41 |        -14 |         -8 |        -63 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\frontend\src\components                                                       |         35 |     -3,752 |       -634 |       -246 |     -4,632 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\frontend\src\components (Files)                                               |          1 |        -19 |         -9 |         -3 |        -31 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\frontend\src\components\main                                                  |         33 |     -3,603 |       -598 |       -233 |     -4,434 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\frontend\src\components\main (Files)                                          |          3 |       -138 |        -65 |        -12 |       -215 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\frontend\src\components\main\admin                                            |          1 |       -259 |        -40 |        -18 |       -317 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\frontend\src\components\main\background                                       |          1 |        -38 |         -9 |         -5 |        -52 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\frontend\src\components\main\buttons                                          |          4 |        -81 |        -23 |        -11 |       -115 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\frontend\src\components\main\cards                                            |          1 |        -25 |         -9 |         -3 |        -37 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\frontend\src\components\main\course                                           |         15 |     -2,559 |       -365 |       -149 |     -3,073 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\frontend\src\components\main\course (Files)                                   |          4 |     -1,057 |       -145 |        -58 |     -1,260 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\frontend\src\components\main\course\attendance                                |          4 |       -599 |       -102 |        -45 |       -746 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\frontend\src\components\main\course\createcourse                              |          7 |       -903 |       -118 |        -46 |     -1,067 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\frontend\src\components\main\course\createcourse (Files)                      |          6 |       -865 |       -109 |        -44 |     -1,018 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\frontend\src\components\main\course\createcourse\coursedetails                |          1 |        -38 |         -9 |         -2 |        -49 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\frontend\src\components\main\dropdown                                         |          1 |        -52 |        -15 |         -4 |        -71 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\frontend\src\components\main\modals                                           |          6 |       -439 |        -59 |        -27 |       -525 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\frontend\src\components\main\titles                                           |          1 |        -12 |        -13 |         -4 |        -29 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\frontend\src\components\profiles                                              |          1 |       -130 |        -27 |        -10 |       -167 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\frontend\src\contexts                                                         |          1 |        -41 |        -25 |         -3 |        -69 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\frontend\src\css                                                              |          2 |        -96 |          0 |        -16 |       -112 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\frontend\src\hooks                                                            |          2 |       -876 |        -28 |        -43 |       -947 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\frontend\src\routes                                                           |         14 |       -290 |       -110 |        -33 |       -433 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\frontend\src\routes (Files)                                                   |          5 |       -133 |        -37 |        -14 |       -184 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\frontend\src\routes\admin                                                     |          4 |        -60 |        -27 |         -9 |        -96 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\frontend\src\routes\counselor                                                 |          1 |        -20 |         -9 |         -2 |        -31 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\frontend\src\routes\teacher                                                   |          4 |        -77 |        -37 |         -8 |       -122 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\frontend\src\routes\teacher (Files)                                           |          3 |        -60 |        -28 |         -6 |        -94 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\frontend\src\routes\teacher\create                                            |          1 |        -17 |         -9 |         -2 |        -28 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\frontend\src\utils                                                            |          1 |       -232 |        -57 |        -21 |       -310 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\frontend\src\views                                                            |         49 |     -5,127 |       -821 |       -428 |     -6,376 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\frontend\src\views (Files)                                                    |          3 |       -110 |        -62 |        -25 |       -197 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\frontend\src\views\main                                                       |         46 |     -5,017 |       -759 |       -403 |     -6,179 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\frontend\src\views\main (Files)                                               |          4 |       -382 |        -42 |        -19 |       -443 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\frontend\src\views\main\admin                                                 |         13 |     -1,611 |       -184 |       -117 |     -1,912 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\frontend\src\views\main\admin (Files)                                         |          9 |     -1,064 |        -85 |        -75 |     -1,224 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\frontend\src\views\main\admin\Courses                                         |          2 |       -374 |        -34 |        -29 |       -437 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\frontend\src\views\main\admin\Lectures                                        |          1 |       -116 |         -1 |         -8 |       -125 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\frontend\src\views\main\admin\Users                                           |          1 |        -57 |        -64 |         -5 |       -126 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\frontend\src\views\main\counselor                                             |          7 |       -106 |        -78 |        -18 |       -202 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\frontend\src\views\main\counselor (Files)                                     |          4 |        -88 |        -78 |        -12 |       -178 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\frontend\src\views\main\counselor\students                                    |          3 |        -18 |          0 |         -6 |        -24 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\frontend\src\views\main\student                                               |          7 |       -572 |       -148 |        -57 |       -777 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\frontend\src\views\main\teacher                                               |         15 |     -2,346 |       -307 |       -192 |     -2,845 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\frontend\src\views\main\teacher (Files)                                       |          3 |       -183 |        -24 |        -18 |       -225 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\frontend\src\views\main\teacher\Attendance                                    |          2 |       -780 |       -114 |        -59 |       -953 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\frontend\src\views\main\teacher\Courses                                       |          6 |       -798 |        -80 |        -65 |       -943 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\frontend\src\views\main\teacher\Students                                      |          4 |       -585 |        -89 |        -50 |       -724 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\serversideconf                                                                |          2 |        -48 |          0 |        -13 |        -61 |
| frontend                                                                                                                                |        137 |     12,954 |      1,821 |      1,017 |     15,792 |
| frontend (Files)                                                                                                                        |         10 |        304 |         23 |         31 |        358 |
| frontend\src                                                                                                                            |        127 |     12,650 |      1,798 |        986 |     15,434 |
| frontend\src (Files)                                                                                                                    |          3 |         41 |         14 |          8 |         63 |
| frontend\src\components                                                                                                                 |         45 |      4,405 |        636 |        319 |      5,360 |
| frontend\src\components (Files)                                                                                                         |          1 |         19 |          9 |          3 |         31 |
| frontend\src\components\main                                                                                                            |         43 |      4,256 |        600 |        306 |      5,162 |
| frontend\src\components\main (Files)                                                                                                    |          5 |        400 |         70 |         41 |        511 |
| frontend\src\components\main\admin                                                                                                      |          3 |        454 |         35 |         35 |        524 |
| frontend\src\components\main\background                                                                                                 |          1 |         38 |          9 |          5 |         52 |
| frontend\src\components\main\buttons                                                                                                    |          4 |         81 |         23 |         11 |        115 |
| frontend\src\components\main\cards                                                                                                      |          2 |         44 |          9 |          7 |         60 |
| frontend\src\components\main\course                                                                                                     |         16 |      2,619 |        365 |        156 |      3,140 |
| frontend\src\components\main\course (Files)                                                                                             |          4 |      1,057 |        145 |         58 |      1,260 |
| frontend\src\components\main\course\attendance                                                                                          |          5 |        659 |        102 |         52 |        813 |
| frontend\src\components\main\course\createcourse                                                                                        |          7 |        903 |        118 |         46 |      1,067 |
| frontend\src\components\main\course\createcourse (Files)                                                                                |          6 |        865 |        109 |         44 |      1,018 |
| frontend\src\components\main\course\createcourse\coursedetails                                                                          |          1 |         38 |          9 |          2 |         49 |
| frontend\src\components\main\dropdown                                                                                                   |          1 |         52 |         15 |          4 |         71 |
| frontend\src\components\main\modals                                                                                                     |          6 |        437 |         59 |         27 |        523 |
| frontend\src\components\main\newUser                                                                                                    |          4 |        119 |          2 |         16 |        137 |
| frontend\src\components\main\titles                                                                                                     |          1 |         12 |         13 |          4 |         29 |
| frontend\src\components\profiles                                                                                                        |          1 |        130 |         27 |         10 |        167 |
| frontend\src\contexts                                                                                                                   |          1 |         41 |         25 |          3 |         69 |
| frontend\src\css                                                                                                                        |          2 |         96 |          0 |         16 |        112 |
| frontend\src\hooks                                                                                                                      |          2 |      1,042 |         28 |         54 |      1,124 |
| frontend\src\routes                                                                                                                     |         14 |        314 |        110 |         39 |        463 |
| frontend\src\routes (Files)                                                                                                             |          5 |        153 |         37 |         20 |        210 |
| frontend\src\routes\admin                                                                                                               |          4 |         60 |         27 |          9 |         96 |
| frontend\src\routes\counselor                                                                                                           |          1 |         22 |          9 |          2 |         33 |
| frontend\src\routes\teacher                                                                                                             |          4 |         79 |         37 |          8 |        124 |
| frontend\src\routes\teacher (Files)                                                                                                     |          3 |         62 |         28 |          6 |         96 |
| frontend\src\routes\teacher\create                                                                                                      |          1 |         17 |          9 |          2 |         28 |
| frontend\src\utils                                                                                                                      |          1 |        232 |         57 |         21 |        310 |
| frontend\src\views                                                                                                                      |         59 |      6,479 |        928 |        526 |      7,933 |
| frontend\src\views (Files)                                                                                                              |          3 |        135 |         76 |         31 |        242 |
| frontend\src\views\main                                                                                                                 |         56 |      6,344 |        852 |        495 |      7,691 |
| frontend\src\views\main (Files)                                                                                                         |          5 |        428 |         42 |         21 |        491 |
| frontend\src\views\main\admin                                                                                                           |         17 |      2,457 |        196 |        172 |      2,825 |
| frontend\src\views\main\admin (Files)                                                                                                   |         13 |      1,838 |         96 |        130 |      2,064 |
| frontend\src\views\main\admin\Courses                                                                                                   |          2 |        374 |         34 |         29 |        437 |
| frontend\src\views\main\admin\Lectures                                                                                                  |          1 |        188 |          2 |          8 |        198 |
| frontend\src\views\main\admin\Users                                                                                                     |          1 |         57 |         64 |          5 |        126 |
| frontend\src\views\main\counselor                                                                                                       |          9 |        180 |        142 |         26 |        348 |
| frontend\src\views\main\counselor (Files)                                                                                               |          4 |         95 |         78 |         12 |        185 |
| frontend\src\views\main\counselor\students                                                                                              |          5 |         85 |         64 |         14 |        163 |
| frontend\src\views\main\student                                                                                                         |          7 |        602 |        148 |         60 |        810 |
| frontend\src\views\main\teacher                                                                                                         |         18 |      2,677 |        324 |        216 |      3,217 |
| frontend\src\views\main\teacher (Files)                                                                                                 |          3 |        197 |         24 |         18 |        239 |
| frontend\src\views\main\teacher\Attendance                                                                                              |          3 |        871 |        129 |         68 |      1,068 |
| frontend\src\views\main\teacher\Courses                                                                                                 |          6 |        831 |         80 |         66 |        977 |
| frontend\src\views\main\teacher\Lectures                                                                                                |          1 |        177 |          2 |         11 |        190 |
| frontend\src\views\main\teacher\Students                                                                                                |          5 |        601 |         89 |         53 |        743 |
| serversideconf                                                                                                                          |          2 |         50 |          0 |         13 |         63 |
+-----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                                                | language       | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\.eslintrc.cjs                                                                 | JavaScript     |        -26 |          0 |         -1 |        -27 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\.github\workflows\deployextra.yml                                             | YAML           |        -53 |         -8 |         -9 |        -70 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\.prettierrc                                                                   | JSON           |        -10 |          0 |         -1 |        -11 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\HowToStart.md                                                                 | Markdown       |        -16 |          0 |        -10 |        -26 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\Readme.md                                                                     | Markdown       |        -83 |          0 |        -27 |       -110 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\backend\README.md                                                             | Markdown       |        -18 |          0 |        -16 |        -34 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\backend\database\createusers.sql                                              | SQL            |         -7 |         -1 |         -2 |        -10 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\backend\database\feedback.sql                                                 | SQL            |        -10 |          0 |          0 |        -10 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\backend\database\jaksec.sql                                                   | SQL            |       -190 |        -35 |        -40 |       -265 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\backend\ecosystem.config.cjs                                                  | JavaScript     |        -20 |          0 |         -1 |        -21 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\backend\package.json                                                          | JSON           |        -80 |          0 |         -1 |        -81 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\backend\src\config\createPool.ts                                              | TypeScript     |        -47 |        -25 |         -7 |        -79 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\backend\src\controllers\admincontroller.ts                                    | TypeScript     |        -43 |        -46 |         -3 |        -92 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\backend\src\controllers\attendancecontroller.ts                               | TypeScript     |       -189 |        -92 |        -22 |       -303 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\backend\src\controllers\coursecontroller.ts                                   | TypeScript     |       -349 |        -87 |        -31 |       -467 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\backend\src\controllers\lecturecontroller.ts                                  | TypeScript     |       -101 |        -42 |        -17 |       -160 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\backend\src\controllers\topicgroupcontroller.ts                               | TypeScript     |       -166 |        -48 |        -10 |       -224 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\backend\src\jaksecfileserver.ts                                               | TypeScript     |        -19 |        -34 |         -8 |        -61 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\backend\src\jaksecserver.ts                                                   | TypeScript     |        -54 |        -69 |        -16 |       -139 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\backend\src\models\attendancemodel.ts                                         | TypeScript     |       -227 |        -80 |        -25 |       -332 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\backend\src\models\courseinstructormodel.ts                                   | TypeScript     |        -15 |         -7 |         -4 |        -26 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\backend\src\models\coursemodel.ts                                             | TypeScript     |       -457 |       -234 |        -24 |       -715 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\backend\src\models\coursetopicmodel.ts                                        | TypeScript     |        -24 |        -12 |         -5 |        -41 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\backend\src\models\lecturemodel.ts                                            | TypeScript     |       -262 |       -166 |        -16 |       -444 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\backend\src\models\rolemodel.ts                                               | TypeScript     |        -61 |        -45 |         -9 |       -115 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\backend\src\models\serversettingsmodel.ts                                     | TypeScript     |        -43 |        -20 |         -3 |        -66 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\backend\src\models\studentgroupmodel.ts                                       | TypeScript     |        -64 |        -44 |        -11 |       -119 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\backend\src\models\topicgroupmodel.ts                                         | TypeScript     |       -108 |        -66 |        -15 |       -189 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\backend\src\models\topicingroupmodel.ts                                       | TypeScript     |        -24 |        -21 |         -5 |        -50 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\backend\src\models\topicmodel.ts                                              | TypeScript     |       -124 |        -69 |         -7 |       -200 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\backend\src\models\usercourse_topicsmodel.ts                                  | TypeScript     |        -61 |        -27 |        -10 |        -98 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\backend\src\models\usercoursemodel.ts                                         | TypeScript     |        -79 |        -45 |         -6 |       -130 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\backend\src\models\userfeedbackmodel.ts                                       | TypeScript     |        -34 |        -20 |         -6 |        -60 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\backend\src\models\usermodel.ts                                               | TypeScript     |       -403 |       -136 |        -29 |       -568 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\backend\src\routes\adminroutes.ts                                             | TypeScript     |       -369 |        -84 |         -7 |       -460 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\backend\src\routes\course\attendanceRoutes.ts                                 | TypeScript     |       -320 |       -123 |        -16 |       -459 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\backend\src\routes\course\topicRoutes.ts                                      | TypeScript     |       -156 |        -39 |        -11 |       -206 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\backend\src\routes\courseroutes.ts                                            | TypeScript     |       -557 |       -141 |        -26 |       -724 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\backend\src\routes\secureroutes.ts                                            | TypeScript     |        -71 |        -19 |         -1 |        -91 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\backend\src\routes\userroutes.ts                                              | TypeScript     |       -175 |        -30 |        -11 |       -216 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\backend\src\sockets\socketHandlers.ts                                         | TypeScript     |       -488 |       -125 |        -35 |       -648 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\backend\src\tests\checkRole.test.ts                                           | TypeScript     |        -43 |         -2 |         -6 |        -51 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\backend\src\types.ts                                                          | TypeScript     |        -86 |       -117 |         -8 |       -211 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\backend\src\utils\auth.ts                                                     | TypeScript     |        -40 |         -9 |         -1 |        -50 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\backend\src\utils\checkRole.ts                                                | TypeScript     |        -10 |         -6 |         -2 |        -18 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\backend\src\utils\doFetch.ts                                                  | TypeScript     |        -34 |        -16 |         -7 |        -57 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\backend\src\utils\errors.ts                                                   | TypeScript     |        -13 |        -16 |         -4 |        -33 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\backend\src\utils\logger.ts                                                   | TypeScript     |         -8 |         -3 |         -5 |        -16 |
| c:\Users\moxch\OneDrive\Asiakirjat\GitHub\JakSurveillance\backend\src\utils\opendata.ts                                                 | TypeScript     |        -39 |        -16 |         -4 |        -59 |
